"","x","y","problem_type","seed","rank","response","Misconception_Label","Misc_explanation","Misc_group"
"76",4.067,-3.1131,"3 addends and subtrahends","x4361b1442f0223d5","19","11/17",NA,NA,NA
"77",0.49768,1.1508,"3 addends and subtrahends","xe1c2fed1e0f550f2","5","9/20",NA,NA,NA
"78",12.008,-0.24822,"3 addends and subtrahends","xb02695c7e65b17f7","7","4/6",NA,NA,NA
"79",9.0515,-1.5535,"3 addends and subtrahends","x335cc71dcece5fb7","13","3/4",NA,NA,NA
"80",11.28,3.7348,"3 addends and subtrahends","x08e5ddfdd57101ea","14","-11/20",NA,NA,NA
"81",3.365,-8.9897,"3 addends and subtrahends","xe1c2fed1e0f550f2","15","7/19",NA,NA,NA
"82",7.2645,4.5005,"3 addends and subtrahends","xe1c2fed1e0f550f2","11","12/20",NA,NA,NA
"83",5.764,-2.5022,"3 addends and subtrahends","xb02695c7e65b17f7","4","5/18",NA,NA,NA
"84",1.3981,1.6596,"3 addends and subtrahends","x2f73ab62fa6a1669","misc","misc",NA,NA,NA
"85",-6.4189,1.9886,"3 addends and subtrahends","xd5f79d461539fde9","3","7/6",NA,NA,NA
"86",7.0494,3.9325,"3 addends and subtrahends","x08e5ddfdd57101ea","18","10/10",NA,NA,NA
"87",-0.40684,3.5876,"3 addends and subtrahends","x4361b1442f0223d5","12","12/10",NA,NA,NA
"88",-3.2179,10.732,"3 addends and subtrahends","x08e5ddfdd57101ea","16","1/20",NA,NA,NA
"89",-8.5825,-2.6667,"3 addends and subtrahends","xd5f79d461539fde9","1","7/11",NA,NA,NA
"90",6.8691,-0.038796,"3 addends and subtrahends","x335cc71dcece5fb7","misc","misc",NA,NA,NA
"91",5.2953,-9.5903,"3 addends and subtrahends","x4361b1442f0223d5","10","1",NA,NA,NA
"92",6.1554,6.4321,"3 addends and subtrahends","x4361b1442f0223d5","9","3/5",NA,NA,NA
"93",9.9666,4.2935,"3 addends and subtrahends","xe1c2fed1e0f550f2","3","7/10",NA,NA,NA
"94",6.84,-0.92389,"3 addends and subtrahends","x952417b53cc6cff1","14","5/6",NA,NA,NA
"95",-6.5743,-2.403,"3 addends and subtrahends","x6e3c33de7bafd5db","9","1",NA,NA,NA
"96",3.9625,6.4259,"3 addends and subtrahends","x6e3c33de7bafd5db","18","7/18",NA,NA,NA
"97",15.161,-3.8679,"3 addends and subtrahends","x4361b1442f0223d5","13","1/2",NA,NA,NA
"98",5.9933,0.73109,"3 addends and subtrahends","x2f73ab62fa6a1669","19","9/12",NA,NA,NA
"99",12.613,-1.4594,"3 addends and subtrahends","x9ad8fd937dc5389c","2","13/8",NA,NA,NA
"100",5.1013,2.9523,"3 addends and subtrahends","xb02695c7e65b17f7","8","5/9",NA,NA,NA
"101",5.5411,4.9135,"3 addends and subtrahends","xd5f79d461539fde9","8","7/5",NA,NA,NA
"102",-3.8481,-4.2089,"3 addends and subtrahends","x952417b53cc6cff1","8","7/3",NA,NA,NA
"103",-12.382,0.86866,"3 addends and subtrahends","xb02695c7e65b17f7","5","1/2",NA,NA,NA
"104",7.6224,-0.22366,"3 addends and subtrahends","xb02695c7e65b17f7","18","8/18",NA,NA,NA
"105",-0.5408,-8.2331,"3 addends and subtrahends","xe1c2fed1e0f550f2","4","1/20",NA,NA,NA
"106",8.0903,-0.84099,"3 addends and subtrahends","xd5f79d461539fde9","11","10/12",NA,NA,NA
"107",-1.7609,9.7788,"3 addends and subtrahends","xb02695c7e65b17f7","6","2/3",NA,NA,NA
"108",-5.3563,-5.4422,"3 addends and subtrahends","x08e5ddfdd57101ea","17","3/4",NA,NA,NA
"109",-11.231,-8.1096,"3 addends and subtrahends","x6e3c33de7bafd5db","1","8/9",NA,NA,NA
"110",-11.487,-9.9924,"3 addends and subtrahends","xd5f79d461539fde9","7","3/2",NA,NA,NA
"111",4.9949,-1.6157,"3 addends and subtrahends","x952417b53cc6cff1","2","27/12",1,"Correct","nouse"
"112",4.9949,-1.6157,"3 addends and subtrahends","x952417b53cc6cff1","2","27/12",1,"Correct","nouse"
"113",4.9949,-1.6157,"3 addends and subtrahends","x952417b53cc6cff1","2","27/12",1,"Correct","nouse"
"114",10.2,5.2179,"3 addends and subtrahends","x952417b53cc6cff1","4","10/12",NA,NA,NA
"115",0.29015,-8.9343,"3 addends and subtrahends","x952417b53cc6cff1","7","13/6",NA,NA,NA
"116",-4.3511,-8.4571,"3 addends and subtrahends","x952417b53cc6cff1","5","17/12",NA,NA,NA
"117",0.53183,-2.2809,"3 addends and subtrahends","x08e5ddfdd57101ea","1","27/20",2,"Not follow directions; add all fracs","operation_mistake"
"118",0.53183,-2.2809,"3 addends and subtrahends","x08e5ddfdd57101ea","1","27/20",2,"Not follow directions; add all fracs","operation_mistake"
"119",0.53183,-2.2809,"3 addends and subtrahends","x08e5ddfdd57101ea","1","27/20",2,"Not follow directions; add all fracs","operation_mistake"
"120",-8.1334,-3.6747,"3 addends and subtrahends","xe1c2fed1e0f550f2","1","23/20",NA,NA,NA
"121",5.3864,-8.7827,"3 addends and subtrahends","x2f73ab62fa6a1669","13","3",NA,NA,NA
"122",-8.8031,5.333,"3 addends and subtrahends","x4361b1442f0223d5","11","2/5",NA,NA,NA
"123",-6.0099,10.42,"3 addends and subtrahends","x952417b53cc6cff1","10","27",NA,NA,NA
"124",0.39689,-4.8715,"3 addends and subtrahends","x6e3c33de7bafd5db","20","11/18",NA,NA,NA
"125",-1.494,8.4251,"3 addends and subtrahends","xb02695c7e65b17f7","15","4/18",NA,NA,NA
"126",2.8322,4.2309,"3 addends and subtrahends","xe1c2fed1e0f550f2","misc","misc",NA,NA,NA
"127",-4.7663,1.8585,"3 addends and subtrahends","x2f73ab62fa6a1669","18","1/2",NA,NA,NA
"128",5.8555,4.3324,"3 addends and subtrahends","x6e3c33de7bafd5db","19","9/18",NA,NA,NA
"129",-8.0544,0.025317,"3 addends and subtrahends","x4361b1442f0223d5","5","6/10",NA,NA,NA
"130",-3.443,-4.4795,"3 addends and subtrahends","x952417b53cc6cff1","16","54/24",NA,NA,NA
"131",0.98194,9.9417,"3 addends and subtrahends","x08e5ddfdd57101ea","11","9/10",NA,NA,NA
"132",-3.9061,-2.6702,"3 addends and subtrahends","xe1c2fed1e0f550f2","12","17/20",NA,NA,NA
"133",6.0404,4.8852,"3 addends and subtrahends","xd5f79d461539fde9","2","11/6",NA,NA,NA
"134",4.9578,-3.0836,"3 addends and subtrahends","x08e5ddfdd57101ea","2","11/20",NA,NA,NA
"135",-1.0657,-9.0757,"3 addends and subtrahends","x08e5ddfdd57101ea","20","3/20",NA,NA,NA
"136",4.2853,-7.6313,"3 addends and subtrahends","xe1c2fed1e0f550f2","18","10/20",NA,NA,NA
"137",12.566,6.3785,"3 addends and subtrahends","x4361b1442f0223d5","15","3/10",NA,NA,NA
"138",7.4043,-8.3309,"3 addends and subtrahends","xe1c2fed1e0f550f2","8","7/20",NA,NA,NA
"139",8.9202,-0.55118,"3 addends and subtrahends","x6e3c33de7bafd5db","12","4/18",NA,NA,NA
"140",5.6165,-7.4786,"3 addends and subtrahends","x335cc71dcece5fb7","1","3/12",NA,NA,NA
"141",3.8355,14.002,"3 addends and subtrahends","xd5f79d461539fde9","5","4/3",NA,NA,NA
"142",4.514,-2.9462,"3 addends and subtrahends","x08e5ddfdd57101ea","4","1",NA,NA,NA
"143",-11.213,4.6867,"3 addends and subtrahends","x6e3c33de7bafd5db","7","1/3",NA,NA,NA
"144",3.0593,-5.9519,"3 addends and subtrahends","x335cc71dcece5fb7","16","11/12",NA,NA,NA
"145",-10.051,1.9198,"3 addends and subtrahends","x2f73ab62fa6a1669","11","4/12",NA,NA,NA
"146",-7.9823,9.2522,"3 addends and subtrahends","x4361b1442f0223d5","18","4/10",NA,NA,NA
"147",4.2422,-8.6138,"3 addends and subtrahends","x6e3c33de7bafd5db","13","5/9",NA,NA,NA
"148",-2.0401,-0.76202,"3 addends and subtrahends","x08e5ddfdd57101ea","15","18/20",NA,NA,NA
"149",-0.25444,-11.457,"3 addends and subtrahends","x9ad8fd937dc5389c","5","2/8",NA,NA,NA
"150",-5.8618,1.7976,"3 addends and subtrahends","x6e3c33de7bafd5db","15","8",NA,NA,NA
"151",-15.645,-0.80629,"3 addends and subtrahends","x2f73ab62fa6a1669","12","17/12",NA,NA,NA
"152",-10.563,-9.4057,"3 addends and subtrahends","x335cc71dcece5fb7","14","17/12",NA,NA,NA
"153",-5.6388,11.956,"3 addends and subtrahends","x335cc71dcece5fb7","5","13/12",NA,NA,NA
"154",4.8782,10.916,"3 addends and subtrahends","x2f73ab62fa6a1669","1","19/12",2,"Not follow directions; add all fracs","operation_mistake"
"155",4.8782,10.916,"3 addends and subtrahends","x2f73ab62fa6a1669","1","19/12",2,"Not follow directions; add all fracs","operation_mistake"
"156",8.5991,-10.783,"3 addends and subtrahends","xb02695c7e65b17f7","12","7/18",NA,NA,NA
"157",3.3743,-8.968,"3 addends and subtrahends","x9ad8fd937dc5389c","3","5/2",NA,NA,NA
"158",7.3609,0.25135,"3 addends and subtrahends","xe1c2fed1e0f550f2","19","3/10",NA,NA,NA
"159",15.454,0.10518,"3 addends and subtrahends","x08e5ddfdd57101ea","3","1/2",NA,NA,NA
"160",-13.779,6.5664,"3 addends and subtrahends","xb02695c7e65b17f7","1","17/18",2,"Not follow directions; add all fracs","operation_mistake"
"161",-13.779,6.5664,"3 addends and subtrahends","xb02695c7e65b17f7","1","17/18",2,"Not follow directions; add all fracs","operation_mistake"
"162",-5.882,3.4362,"3 addends and subtrahends","x335cc71dcece5fb7","15","1/6",NA,NA,NA
"163",-1.5594,-9.738,"3 addends and subtrahends","x6e3c33de7bafd5db","16","10/18",NA,NA,NA
"164",10.654,4.0855,"3 addends and subtrahends","xb02695c7e65b17f7","16","1/3",NA,NA,NA
"165",11.637,3.9802,"3 addends and subtrahends","xe1c2fed1e0f550f2","6","14/20",10,"incorrect reduction of fraction","frac_oper"
"166",-1.4579,-7.4127,"3 addends and subtrahends","x6e3c33de7bafd5db","14","1/9",NA,NA,NA
"167",14,4.8882,"3 addends and subtrahends","x6e3c33de7bafd5db","5","16/18",NA,NA,NA
"168",-9.9842,0.83329,"3 addends and subtrahends","x952417b53cc6cff1","6","25/12",NA,NA,NA
"169",-7.9657,7.254,"3 addends and subtrahends","x335cc71dcece5fb7","12","1/12",NA,NA,NA
"170",7.7069,10.586,"3 addends and subtrahends","x4361b1442f0223d5","7","11/10",NA,NA,NA
"171",-2.7413,4.91,"3 addends and subtrahends","x952417b53cc6cff1","19","12",NA,NA,NA
"172",-0.9421,5.9243,"3 addends and subtrahends","xb02695c7e65b17f7","9","11/8",NA,NA,NA
"173",11.835,4.4523,"3 addends and subtrahends","x4361b1442f0223d5","8","6/5",NA,NA,NA
"174",-11.919,-0.49987,"3 addends and subtrahends","xb02695c7e65b17f7","17","1/9",NA,NA,NA
"175",-2.0521,-0.74899,"3 addends and subtrahends","xe1c2fed1e0f550f2","7","13/20",NA,NA,NA
"176",0.78665,2.2657,"3 addends and subtrahends","x335cc71dcece5fb7","9","5/6",NA,NA,NA
"177",12.82,-2.1245,"3 addends and subtrahends","x9ad8fd937dc5389c","9","0",NA,NA,NA
"178",3.9317,0.51515,"3 addends and subtrahends","x08e5ddfdd57101ea","5","10/20",NA,NA,NA
"179",-6.1631,-9.1133,"3 addends and subtrahends","xb02695c7e65b17f7","3","-1/18",NA,NA,NA
"180",-0.89627,9.4289,"3 addends and subtrahends","x6e3c33de7bafd5db","2","5/18",NA,NA,NA
"181",12.259,5.8745,"3 addends and subtrahends","xe1c2fed1e0f550f2","10","1/2",NA,NA,NA
"182",4.1958,12.825,"3 addends and subtrahends","x952417b53cc6cff1","9","29/12",NA,NA,NA
"183",5.598,4.1941,"3 addends and subtrahends","xd5f79d461539fde9","10","9/6",NA,NA,NA
"184",4.015,6.4715,"3 addends and subtrahends","xd5f79d461539fde9","14","3/5",NA,NA,NA
"185",-11.348,2.2385,"3 addends and subtrahends","x2f73ab62fa6a1669","10","6/13",NA,NA,NA
"186",-11.322,2.1982,"3 addends and subtrahends","x335cc71dcece5fb7","10","4/12",NA,NA,NA
"187",11.412,4.8701,"3 addends and subtrahends","x4361b1442f0223d5","4","9/10",NA,NA,NA
"188",-0.20975,2.5999,"3 addends and subtrahends","x08e5ddfdd57101ea","8","13/20",NA,NA,NA
"189",-5.3691,8.6142,"3 addends and subtrahends","x9ad8fd937dc5389c","1","5/8",NA,NA,NA
"190",-10.597,-10.45,"3 addends and subtrahends","xb02695c7e65b17f7","10","6/18",NA,NA,NA
"191",-10.026,-3.7285,"3 addends and subtrahends","x952417b53cc6cff1","11","11/6",NA,NA,NA
"192",0.55766,-4.7469,"3 addends and subtrahends","x2f73ab62fa6a1669","14","6/12",NA,NA,NA
"193",-6.9629,3.5406,"3 addends and subtrahends","x952417b53cc6cff1","18","28/12",NA,NA,NA
"194",1.2551,2.4569,"3 addends and subtrahends","xe1c2fed1e0f550f2","20","11/12",NA,NA,NA
"195",6.5206,4.0903,"3 addends and subtrahends","x335cc71dcece5fb7","4","1/3",NA,NA,NA
"196",10.721,-4.9676,"3 addends and subtrahends","xe1c2fed1e0f550f2","14","11",NA,NA,NA
